-2.50	-2.10	0.0	20.0		0.001	0.000	0.000
-2.50	-2.10	20.0	23.0		0.008	0.001	0.001
-2.50	-2.10	23.0	24.0		0.119	0.006	0.006
-2.50	-2.10	24.0	25.0		0.429	0.009	0.009
-2.50	-2.10	25.0	26.0		0.699	0.008	0.008
-2.50	-2.10	26.0	30.0		0.903	0.002	0.002
-2.50	-2.10	30.0	35.0		0.939	0.001	0.001
-2.50	-2.10	35.0	40.0		0.948	0.001	0.001
-2.50	-2.10	40.0	45.0		0.955	0.001	0.001
-2.50	-2.10	45.0	50.0		0.962	0.001	0.001
-2.50	-2.10	50.0	60.0		0.965	0.001	0.001
-2.50	-2.10	60.0	100.0		0.966	0.002	0.002
-2.50	-2.10	100.0	200.0		0.969	0.005	0.004
-2.10	-1.57	0.0	20.0		0.002	0.000	0.000
-2.10	-1.57	20.0	23.0		0.036	0.002	0.002
-2.10	-1.57	23.0	24.0		0.358	0.007	0.007
-2.10	-1.57	24.0	25.0		0.745	0.006	0.006
-2.10	-1.57	25.0	26.0		0.896	0.004	0.004
-2.10	-1.57	26.0	30.0		0.947	0.001	0.001
-2.10	-1.57	30.0	35.0		0.959	0.001	0.001
-2.10	-1.57	35.0	40.0		0.965	0.000	0.000
-2.10	-1.57	40.0	45.0		0.972	0.000	0.000
-2.10	-1.57	45.0	50.0		0.977	0.000	0.000
-2.10	-1.57	50.0	60.0		0.979	0.001	0.001
-2.10	-1.57	60.0	100.0		0.980	0.001	0.001
-2.10	-1.57	100.0	200.0		0.986	0.002	0.002
-1.57	-1.44	0.0	20.0		0.041	0.003	0.004
-1.57	-1.44	20.0	23.0		0.209	0.008	0.008
-1.57	-1.44	23.0	24.0		0.448	0.016	0.016
-1.57	-1.44	24.0	25.0		0.635	0.014	0.014
-1.57	-1.44	25.0	26.0		0.746	0.012	0.011
-1.57	-1.44	26.0	30.0		0.805	0.005	0.005
-1.57	-1.44	30.0	35.0		0.855	0.003	0.003
-1.57	-1.44	35.0	40.0		0.884	0.002	0.002
-1.57	-1.44	40.0	45.0		0.898	0.002	0.002
-1.57	-1.44	45.0	50.0		0.911	0.002	0.002
-1.57	-1.44	50.0	60.0		0.908	0.003	0.003
-1.57	-1.44	60.0	100.0		0.907	0.006	0.005
-1.57	-1.44	100.0	200.0		0.916	0.014	0.012
-1.44	-0.80	0.0	20.0		0.004	0.000	0.000
-1.44	-0.80	20.0	23.0		0.022	0.001	0.001
-1.44	-0.80	23.0	24.0		0.242	0.004	0.004
-1.44	-0.80	24.0	25.0		0.623	0.004	0.004
-1.44	-0.80	25.0	26.0		0.797	0.004	0.003
-1.44	-0.80	26.0	30.0		0.863	0.001	0.001
-1.44	-0.80	30.0	35.0		0.888	0.001	0.001
-1.44	-0.80	35.0	40.0		0.909	0.001	0.001
-1.44	-0.80	40.0	45.0		0.921	0.000	0.000
