-2.50	-2.10	0.0	10.0		0.000	0.000	0.004
-2.50	-2.10	10.0	12.0		0.001	0.001	0.002
-2.50	-2.10	12.0	13.0		0.078	0.011	0.013
-2.50	-2.10	13.0	14.0		0.349	0.018	0.018
-2.50	-2.10	14.0	15.0		0.548	0.017	0.017
-2.50	-2.10	15.0	20.0		0.765	0.005	0.005
-2.50	-2.10	20.0	25.0		0.856	0.003	0.003
-2.50	-2.10	25.0	30.0		0.896	0.002	0.002
-2.50	-2.10	30.0	35.0		0.923	0.001	0.001
-2.50	-2.10	35.0	40.0		0.938	0.001	0.001
-2.50	-2.10	40.0	45.0		0.950	0.001	0.001
-2.50	-2.10	45.0	50.0		0.958	0.001	0.001
-2.50	-2.10	50.0	60.0		0.960	0.001	0.001
-2.50	-2.10	60.0	100.0		0.954	0.002	0.002
-2.50	-2.10	100.0	200.0		0.962	0.006	0.005
-2.10	-1.57	0.0	10.0		0.001	0.001	0.002
-2.10	-1.57	10.0	12.0		0.007	0.002	0.002
-2.10	-1.57	12.0	13.0		0.119	0.008	0.009
-2.10	-1.57	13.0	14.0		0.347	0.011	0.012
-2.10	-1.57	14.0	15.0		0.513	0.011	0.011
-2.10	-1.57	15.0	20.0		0.744	0.003	0.003
-2.10	-1.57	20.0	25.0		0.865	0.002	0.002
-2.10	-1.57	25.0	30.0		0.917	0.001	0.001
-2.10	-1.57	30.0	35.0		0.940	0.001	0.001
-2.10	-1.57	35.0	40.0		0.954	0.001	0.001
-2.10	-1.57	40.0	45.0		0.966	0.000	0.000
-2.10	-1.57	45.0	50.0		0.972	0.000	0.000
-2.10	-1.57	50.0	60.0		0.972	0.001	0.001
-2.10	-1.57	60.0	100.0		0.968	0.001	0.001
-2.10	-1.57	100.0	200.0		0.979	0.003	0.002
-1.57	-1.44	0.0	10.0		0.002	0.001	0.004
-1.57	-1.44	10.0	12.0		0.006	0.002	0.003
-1.57	-1.44	12.0	13.0		0.045	0.008	0.009
-1.57	-1.44	13.0	14.0		0.132	0.012	0.013
-1.57	-1.44	14.0	15.0		0.189	0.014	0.014
-1.57	-1.44	15.0	20.0		0.433	0.007	0.007
-1.57	-1.44	20.0	25.0		0.594	0.005	0.005
-1.57	-1.44	25.0	30.0		0.686	0.004	0.004
-1.57	-1.44	30.0	35.0		0.751	0.003	0.003
-1.57	-1.44	35.0	40.0		0.812	0.002	0.002
-1.57	-1.44	40.0	45.0		0.853	0.002	0.002
-1.57	-1.44	45.0	50.0		0.866	0.002	0.002
-1.57	-1.44	50.0	60.0		0.845	0.003	0.003
-1.57	-1.44	60.0	100.0		0.814	0.007	0.006
-1.57	-1.44	100.0	200.0		0.887	0.014	0.013
-1.44	-0.80	0.0	10.0		0.001	0.000	0.001
-1.44	-0.80	10.0	12.0		0.003	0.000	0.001
-1.44	-0.80	12.0	13.0		0.059	0.003	0.003
-1.44	-0.80	13.0	14.0		0.161	0.004	0.004
-1.44	-0.80	14.0	15.0		0.252	0.005	0.005
-1.44	-0.80	15.0	20.0		0.444	0.002	0.002
-1.44	-0.80	20.0	25.0		0.642	0.002	0.002
-1.44	-0.80	25.0	30.0		0.767	0.001	0.001
-1.44	-0.80	30.0	35.0		0.842	0.001	0.001
-1.44	-0.80	35.0	40.0		0.885	0.001	0.001
-1.44	-0.80	40.0	45.0		0.907	0.000	0.000
-1.44	-0.80	45.0	50.0		0.913	0.001	0.001
-1.44	-0.80	50.0	60.0		0.915	0.001	0.001
-1.44	-0.80	60.0	100.0		0.905	0.002	0.002
-1.44	-0.80	100.0	200.0		0.932	0.003	0.003
-0.80	0.00	0.0	10.0		0.000	0.000	0.000
-0.80	0.00	10.0	12.0		0.002	0.000	0.000
-0.80	0.00	12.0	13.0		0.083	0.002	0.002
-0.80	0.00	13.0	14.0		0.246	0.004	0.004
-0.80	0.00	14.0	15.0		0.338	0.004	0.004
-0.80	0.00	15.0	20.0		0.519	0.002	0.002
-0.80	0.00	20.0	25.0		0.700	0.001	0.001
-0.80	0.00	25.0	30.0		0.803	0.001	0.001
-0.80	0.00	30.0	35.0		0.865	0.001	0.001
-0.80	0.00	35.0	40.0		0.906	0.000	0.000
-0.80	0.00	40.0	45.0		0.925	0.000	0.000
-0.80	0.00	45.0	50.0		0.937	0.000	0.000
-0.80	0.00	50.0	60.0		0.937	0.001	0.001
-0.80	0.00	60.0	100.0		0.928	0.001	0.001
