-2.50	-2.10	0.0	30.0		0.001	0.000	0.000
-2.50	-2.10	30.0	35.0		0.008	0.000	0.000
-2.50	-2.10	35.0	36.0		0.098	0.003	0.003
-2.50	-2.10	36.0	37.0		0.272	0.004	0.004
-2.50	-2.10	37.0	38.0		0.490	0.004	0.004
-2.50	-2.10	38.0	40.0		0.685	0.002	0.002
-2.50	-2.10	40.0	42.0		0.788	0.002	0.002
-2.50	-2.10	42.0	45.0		0.825	0.001	0.001
-2.50	-2.10	45.0	50.0		0.844	0.001	0.001
-2.50	-2.10	50.0	65.0		0.848	0.002	0.002
-2.50	-2.10	65.0	70.0		0.836	0.008	0.007
-2.50	-2.10	70.0	80.0		0.850	0.008	0.007
-2.50	-2.10	80.0	100.0		0.872	0.008	0.008
-2.50	-2.10	100.0	200.0		0.884	0.009	0.008
-2.10	-1.57	0.0	30.0		0.002	0.000	0.000
-2.10	-1.57	30.0	35.0		0.025	0.001	0.001
-2.10	-1.57	35.0	36.0		0.268	0.003	0.003
-2.10	-1.57	36.0	37.0		0.567	0.003	0.003
-2.10	-1.57	37.0	38.0		0.726	0.002	0.002
-2.10	-1.57	38.0	40.0		0.802	0.001	0.001
-2.10	-1.57	40.0	42.0		0.835	0.001	0.001
-2.10	-1.57	42.0	45.0		0.857	0.001	0.001
-2.10	-1.57	45.0	50.0		0.875	0.001	0.001
-2.10	-1.57	50.0	65.0		0.884	0.001	0.001
-2.10	-1.57	65.0	70.0		0.889	0.005	0.005
-2.10	-1.57	70.0	80.0		0.893	0.005	0.005
-2.10	-1.57	80.0	100.0		0.909	0.005	0.005
-2.10	-1.57	100.0	200.0		0.919	0.005	0.005
-1.57	-1.44	0.0	30.0		0.009	0.001	0.001
-1.57	-1.44	30.0	35.0		0.096	0.002	0.002
-1.57	-1.44	35.0	36.0		0.271	0.006	0.006
-1.57	-1.44	36.0	37.0		0.415	0.006	0.006
-1.57	-1.44	37.0	38.0		0.534	0.006	0.006
-1.57	-1.44	38.0	40.0		0.615	0.004	0.004
-1.57	-1.44	40.0	42.0		0.675	0.004	0.004
-1.57	-1.44	42.0	45.0		0.711	0.003	0.003
-1.57	-1.44	45.0	50.0		0.732	0.003	0.003
-1.57	-1.44	50.0	65.0		0.723	0.004	0.004
-1.57	-1.44	65.0	70.0		0.712	0.018	0.017
-1.57	-1.44	70.0	80.0		0.694	0.017	0.017
-1.57	-1.44	80.0	100.0		0.768	0.017	0.017
-1.57	-1.44	100.0	200.0		0.786	0.018	0.017
-1.44	-0.80	0.0	30.0		0.001	0.000	0.000
-1.44	-0.80	30.0	35.0		0.009	0.000	0.000
-1.44	-0.80	35.0	36.0		0.154	0.001	0.001
-1.44	-0.80	36.0	37.0		0.433	0.002	0.002
-1.44	-0.80	37.0	38.0		0.626	0.002	0.002
-1.44	-0.80	38.0	40.0		0.713	0.001	0.001
-1.44	-0.80	40.0	42.0		0.751	0.001	0.001
-1.44	-0.80	42.0	45.0		0.775	0.001	0.001
-1.44	-0.80	45.0	50.0		0.791	0.001	0.001
-1.44	-0.80	50.0	65.0		0.806	0.001	0.001
-1.44	-0.80	65.0	70.0		0.814	0.005	0.005
-1.44	-0.80	70.0	80.0		0.820	0.004	0.004
-1.44	-0.80	80.0	100.0		0.844	0.004	0.004
-1.44	-0.80	100.0	200.0		0.858	0.004	0.004
-0.80	0.00	0.0	30.0		0.000	0.000	0.000
-0.80	0.00	30.0	35.0		0.006	0.000	0.000
-0.80	0.00	35.0	36.0		0.179	0.001	0.001
-0.80	0.00	36.0	37.0		0.557	0.002	0.002
-0.80	0.00	37.0	38.0		0.710	0.001	0.001
-0.80	0.00	38.0	40.0		0.749	0.001	0.001
-0.80	0.00	40.0	42.0		0.772	0.001	0.001
-0.80	0.00	42.0	45.0		0.789	0.001	0.001
-0.80	0.00	45.0	50.0		0.808	0.001	0.001
-0.80	0.00	50.0	65.0		0.823	0.001	0.001
-0.80	0.00	65.0	70.0		0.821	0.004	0.004
-0.80	0.00	70.0	80.0		0.832	0.004	0.004
-0.80	0.00	80.0	100.0		0.837	0.004	0.004
-0.80	0.00	100.0	200.0		0.864	0.004	0.004
0.00	0.80	0.0	30.0		0.000	0.000	0.000
0.00	0.80	30.0	35.0		0.006	0.000	0.000
0.00	0.80	35.0	36.0		0.180	0.001	0.001
0.00	0.80	36.0	37.0		0.554	0.002	0.002
0.00	0.80	37.0	38.0		0.703	0.002	0.002
0.00	0.80	38.0	40.0		0.737	0.001	0.001
0.00	0.80	40.0	42.0		0.756	0.001	0.001
0.00	0.80	42.0	45.0		0.774	0.001	0.001
0.00	0.80	45.0	50.0		0.794	0.001	0.001
